sim,LR
1,-151.1660125841554
2,145.36653669545012
3,87.61013376334085
4,38.19065898556619
5,-20.584474014600346
6,206.7702812606749
7,182.79862854584098
8,73.73160300946438
9,-110.86460131727108
10,-14.914655498059801
11,59.39334882724506
12,34.628648190231615
13,75.21241153426672
14,426.7814312050523
15,120.23981103263031
16,112.0014306267858
17,27.55097661745276
18,-231.47502595716287
19,-40.84663255716441
20,-71.35841796041677
21,49.36438973710756
22,67.49416325344464
23,97.92931415005114
24,44.547864546206256
25,-207.43684713066796
26,152.84862246183002
27,-14.854851354783023
28,-400.09328284710136
29,316.500952571394
30,190.5783223183862
31,-56.23218976564203
32,49.08187245458976
33,66.70131503673656
34,208.30665919354942
35,-108.6329480130662
36,-28.29184223579432
37,193.9099144809934
38,-210.37995506428706
39,125.60704659243856
40,197.07192933595252
41,-310.2943966689745
42,-44.11585723686585
43,211.3683608428655
44,-46.5770187241651
45,153.05197070424583
46,36.02791071376669
47,145.06293494851525
48,-22.37301914170348
49,21.359735138275937
50,373.49230826765233
51,-40.222505246645596
52,-90.4598922569694
53,71.18106656464988
54,117.40853649043856
55,11.436526207035058
56,211.3151296493179
57,-14.268054270951325
58,-46.99640044217267
59,42.89864092715652
60,363.6178216969456
61,20.092103304679767
62,10.156679875271948
63,180.32034486320845
64,15.710081413099033
65,1.8133628375744593
66,16.517105015487687
67,251.1101141815252
68,-29.01616140927399
69,-77.60662824555766
70,293.1812145659678
71,137.48275832496802
72,206.1104883190219
73,50.87490799022635
74,222.21987696786528
75,183.1022747115694
76,253.36115189325938
77,313.1566643190672
78,173.5415291415884
79,50.09277535995534
80,71.27895415362036
81,-7.5118783765647095
82,231.7749833814214
83,96.35654786977648
84,66.91901229484938
85,-122.62209206401349
86,249.98315650393488
87,-196.39218931842697
88,34.16545826743095
89,-234.9352683061079
90,146.79855528932785
91,-29.245270324981902
92,12.35625672768947
93,27.34281665245362
94,101.20281844764759
95,145.33669488452324
96,-50.556191693067376
97,-160.7622823979109
98,-183.09910114949162
99,81.45845329506301
100,-125.48429718848274
101,196.61251421240922
102,23.455076923884917
103,-10.41908857963972
104,-61.110470093517506
105,103.22261149632322
106,127.60905548423398
107,-77.29336585144301
108,53.292729420632895
109,105.89951598874904
110,-66.22350014636504
111,-60.322312504451475
112,102.09728278827242
113,-118.30863086640238
114,-48.58536392600581
115,-17.156579090704327
